ID,gender,Management,USAcitizen,Married,MonthsInUnion,ContinuingEd,StateOfResidence,Connectivity,FeatureA,FeatureB,FeatureC,FeatureD,FeatureE,FeatureF,DuesFrequency,PaperlessBilling,PaymentMethod,MonthlyDues,TotalDues,LeftUnion
Justin1-14602,Female,0,No,Yes,35,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,One year,Yes,Credit card (automatic),20.1,644.5,No
Justin2-14367,Male,0,Yes,No,3,No,MO,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,25,78.25,No
Justin3-13512,Female,0,Yes,No,5,Yes,IL,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),67.95,350.3,Yes
Justin4-19444,Male,0,No,No,32,Yes,IL,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),80.35,2596.15,Yes
Justin5-16483,Male,0,No,No,17,Yes,MO,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),55.5,934.15,No
Justin6-18046,Female,0,Yes,Yes,20,Yes,IL,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),95.5,1916.2,No
Justin7-14756,Male,0,No,No,20,Yes,IL,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,88.7,1761.45,Yes
Justin8-19115,Female,0,Yes,No,67,Yes,IL,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,111.25,7511.65,No
Justin9-19512,Female,0,No,No,15,Yes,IL,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.15,1415,No
Justin10-15079,Male,0,Yes,No,70,No,MO,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),39.15,2692.75,No
Justin11-17537,Female,0,No,No,70,Yes,MO,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,One year,No,Bank transfer (automatic),19.7,1341.5,No
Justin12-13380,Male,0,No,No,26,Yes,IL,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),86.65,2208.75,No
Justin13-13141,Male,0,Yes,Yes,58,Yes,MO,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.85,5305.05,No
Justin14-19182,Female,0,No,No,2,Yes,MO,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,86.2,178.7,Yes
Justin15-13517,Female,0,Yes,Yes,5,Yes,MO,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),69.95,320.4,No
Justin16-19821,Female,1,No,No,7,Yes,MO,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,503.6,Yes
Justin17-15928,Male,1,Yes,No,55,Yes,IL,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74,4052.4,No
Justin18-19732,Male,0,No,No,50,Yes,IL,No,Maryville,Maryville,Maryville,Maryville,Maryville,Maryville,Two year,No,Bank transfer (automatic),24.9,1195.25,No
Justin19-18381,Male,0,No,No,27,Yes,IL,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,59.45,1611.65,No
